node_id	node_id
173	96
121	72
35	79
2	130
2	75
104	79
104	56
176	167
176	57
176	4
176	153
176	5
176	46
176	137
176	145
176	38
176	63
169	137
169	38
167	137
167	63
87	174
48	13
48	157
28	84
28	47
57	104
57	81
57	86
57	42
57	141
57	177
57	33
57	116
57	31
57	95
57	127
57	76
57	90
57	37
57	114
57	113
57	105
57	32
57	80
57	60
57	14
57	110
57	112
57	89
57	158
57	106
57	153
57	17
57	164
57	5
57	46
57	18
57	16
57	119
57	34
57	107
57	182
57	109
57	74
57	178
57	174
57	41
57	135
57	71
57	1
57	157
57	165
57	100
57	154
57	160
57	68
57	30
57	84
57	145
57	128
57	53
57	45
57	123
57	50
57	170
57	96
57	15
57	61
57	98
57	29
57	99
57	103
57	40
57	175
57	77
57	58
57	24
57	3
57	108
57	43
57	132
57	131
57	168
57	147
57	163
57	82
57	59
57	55
57	72
57	155
57	26
57	11
57	148
57	144
57	7
57	124
57	88
57	156
138	69
138	129
138	164
138	93
138	118
62	23
62	118
42	164
83	69
83	129
83	164
83	93
83	174
83	103
83	3
22	92
22	44
171	69
171	129
171	92
171	93
171	50
171	23
126	174
134	44
161	8
65	158
65	8
177	118
67	89
67	140
67	13
67	165
67	30
67	181
67	49
67	148
85	21
117	181
33	51
52	53
64	135
25	30
25	75
149	140
149	165
149	148
97	152
97	165
97	27
97	3
97	118
116	111
31	158
95	43
105	99
21	28
21	180
21	41
21	147
162	5
162	154
110	150
110	93
180	93
69	93
89	150
129	93
153	160
0	101
0	122
137	63
18	96
125	175
125	77
109	101
109	6
109	122
9	148
74	27
174	93
41	67
41	66
135	22
135	64
135	5
1	27
13	150
154	5
160	153
91	27
128	128
53	5
53	92
96	173
96	121
96	18
29	179
179	29
115	99
99	155
19	103
175	77
27	97
27	74
27	1
24	28
24	4
24	68
24	84
24	47
24	139
24	159
78	143
78	26
43	104
168	99
168	155
147	158
94	82
102	82
82	94
8	28
8	158
8	109
8	101
8	122
172	72
72	121
72	172
155	99
12	7
101	109
101	8
101	6
101	122
120	153
120	1
120	160
159	136
63	54
73	10
10	5
10	166
10	142
10	154
6	149
6	109
122	109
122	8
122	6
20	158
20	109
20	47
20	8
20	101
151	36
151	147
70	96
70	70
133	133
133	66
133	146
66	150
66	39
66	130
66	30
66	3
66	75
66	49
66	144
66	146
146	150
146	130
146	30
146	3
146	75
146	49
146	66
